TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-21,2026-09-21,FO,NSE,STO,52989,,ABCAPITAL,,2026-09-29,2026-09-29,485.00,CE,ABCAPITAL26SEP485CE,0.05,0.05,0.05,0.05,0.05,0.05,403.40,0.01,58900,-3100,1,1503655.00,1,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,53035,,ABCAPITAL,,2026-10-27,2026-10-27,370.00,CE,ABCAPITAL26OCT370CE,36.60,36.60,36.60,36.60,36.60,46.00,403.40,42.23,3100,3100,1,1260460.00,1,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,52951,,ABCAPITAL,,2026-09-29,2026-09-29,345.00,PE,ABCAPITAL26SEP345PE,0.00,0.00,0.00,0.15,0.15,0.15,403.40,0.03,9300,0,0,0.00,0,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,78505,,ABCAPITAL,,2026-09-29,2026-09-29,480.00,CE,ABCAPITAL26SEP480CE,0.05,0.05,0.05,0.05,0.05,0.15,403.40,0.01,6200,-3100,1,1488155.00,1,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,53042,,ABCAPITAL,,2026-10-27,2026-10-27,400.00,PE,ABCAPITAL26OCT400PE,9.70,10.50,9.20,9.45,9.45,9.90,403.40,17.30,192200,21700,26,33029880.00,24,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,52952,,ABCAPITAL,,2026-09-29,2026-09-29,355.00,CE,ABCAPITAL26SEP355CE,48.40,48.40,47.50,47.50,47.50,44.60,403.40,48.98,34100,-3100,4,4999370.00,2,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,78464,,ABCAPITAL,,2026-09-29,2026-09-29,410.00,CE,ABCAPITAL26SEP410CE,4.00,4.00,2.40,2.50,2.50,3.75,403.40,2.50,1928200,34100,798,1021380250.00,626,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,52976,,ABCAPITAL,,2026-09-29,2026-09-29,435.00,CE,ABCAPITAL26SEP435CE,0.25,0.30,0.25,0.25,0.25,0.40,403.40,0.25,306900,-9300,18,24287260.00,16,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,53018,,ABCAPITAL,,2026-10-27,2026-10-27,320.00,CE,ABCAPITAL26OCT320CE,0.00,0.00,0.00,81.50,0.00,81.50,403.40,85.91,0,0,0,0.00,0,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,53029,,ABCAPITAL,,2026-10-27,2026-10-27,350.00,CE,ABCAPITAL26OCT350CE,0.00,0.00,0.00,58.80,0.00,58.80,403.40,58.36,0,0,0,0.00,0,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,53051,,ABCAPITAL,,2026-10-27,2026-10-27,450.00,CE,ABCAPITAL26OCT450CE,2.10,2.10,1.50,1.55,1.55,1.95,403.40,6.23,93000,43400,21,29403035.00,18,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,67285,,ABCAPITAL,,2026-11-23,2026-11-23,480.00,CE,ABCAPITAL26NOV480CE,0.00,0.00,0.00,1.55,1.55,1.55,403.40,6.34,27900,0,0,0.00,0,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,78392,,ABCAPITAL,,2026-09-29,2026-09-29,340.00,PE,ABCAPITAL26SEP340PE,0.00,0.00,0.00,0.10,0.10,0.10,403.40,0.01,40300,0,0,0.00,0,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,53040,,ABCAPITAL,,2026-10-27,2026-10-27,390.00,PE,ABCAPITAL26OCT390PE,6.25,6.30,5.65,5.75,5.75,5.95,403.40,5.75,170500,21700,15,18414000.00,15,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,52957,,ABCAPITAL,,2026-09-29,2026-09-29,375.00,PE,ABCAPITAL26SEP375PE,0.55,0.55,0.30,0.30,0.30,0.45,403.40,0.30,554900,-43400,63,73311125.00,53,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,78463,,ABCAPITAL,,2026-09-29,2026-09-29,400.00,PE,ABCAPITAL26SEP400PE,4.55,5.25,3.60,3.90,3.95,4.45,403.40,3.90,3270500,-9300,594,744615350.00,542,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,67089,,ABCAPITAL,,2026-10-27,2026-10-27,415.00,PE,ABCAPITAL26OCT415PE,0.00,0.00,0.00,30.00,30.00,30.00,403.40,25.30,0,0,0,0.00,0,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,52984,,ABCAPITAL,,2026-09-29,2026-09-29,455.00,PE,ABCAPITAL26SEP455PE,0.00,0.00,0.00,67.10,0.00,67.10,403.40,51.22,0,0,0,0.00,0,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,78465,,ABCAPITAL,,2026-09-29,2026-09-29,410.00,PE,ABCAPITAL26SEP410PE,10.20,11.30,9.00,9.60,9.60,9.80,403.40,9.60,747100,-49600,222,289120570.00,213,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,52969,,ABCAPITAL,,2026-09-29,2026-09-29,405.00,PE,ABCAPITAL26SEP405PE,7.05,8.00,5.95,6.35,6.50,6.85,403.40,6.35,474300,9300,345,440521160.00,340,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,78357,,ABCAPITAL,,2026-09-29,2026-09-29,320.00,PE,ABCAPITAL26SEP320PE,0.00,0.00,0.00,0.80,0.80,0.80,403.40,0.00,3100,0,0,0.00,0,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,67194,,ABCAPITAL,,2026-11-23,2026-11-23,410.00,CE,ABCAPITAL26NOV410CE,0.00,0.00,0.00,36.05,0.00,36.05,403.40,25.80,0,0,0,0.00,0,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,67138,,ABCAPITAL,,2026-10-27,2026-10-27,465.00,CE,ABCAPITAL26OCT465CE,0.00,0.00,0.00,10.80,0.00,10.80,403.40,3.90,0,0,0,0.00,0,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,67088,,ABCAPITAL,,2026-10-27,2026-10-27,415.00,CE,ABCAPITAL26OCT415CE,0.00,0.00,0.00,27.50,0.00,27.50,403.40,16.29,0,0,0,0.00,0,F1,3100,,,,,
2026-09-21,2026-09-21,FO,NSE,STO,78491,,ABCAPITAL,,2026-09-29,2026-09-29,460.00,CE,ABCAPITAL26SEP460CE,0.10,0.10,0.10,0.10,0.10,0.15,403.40,0.13,145700,-3100,4,5705240.00,3,F1,3100,,,,,
